Repository name,Minor,Major,Total,Ownership
brightsquid/alignerios,0.061,0.837,0.840,-0.828
brightsquid/apitests,nan,0.649,0.649,-0.507
brightsquid/aws,nan,0.672,0.672,-0.613
brightsquid/biomet3i-webapp,0.097,0.694,0.699,-0.559
brightsquid/brightshare_auth,nan,nan,nan,nan
brightsquid/brightshare_backend,0.239,0.621,0.624,-0.590
brightsquid/brightshare_dbworker,nan,nan,nan,nan
brightsquid/brightshare_FE,0.327,0.769,0.801,-0.561
brightsquid/bsq,0.242,0.219,0.268,-0.173
brightsquid/caleo,0.083,0.929,0.930,-0.893
brightsquid/canialign,nan,0.831,0.831,-0.548
brightsquid/darknet,0.033,0.727,0.727,-0.720
brightsquid/datastudo_reports,nan,nan,nan,nan
brightsquid/dermatology,nan,0.766,0.766,-0.607
brightsquid/desktop,0.079,0.493,0.499,-0.453
brightsquid/devops,0.737,0.125,0.709,-0.364
brightsquid/docs,nan,1.000,1.000,-1.000
brightsquid/eMD,0.268,0.805,0.809,-0.747
brightsquid/form-builder,nan,nan,nan,nan
brightsquid/hatchwiki,nan,1.000,1.000,-1.000
brightsquid/health,0.196,0.131,0.138,-0.002
brightsquid/insights,nan,nan,nan,nan
brightsquid/ioschat,0.179,0.106,0.113,0.023
brightsquid/kpidata,nan,nan,nan,nan
brightsquid/kraken,0.161,0.607,0.607,-0.569
brightsquid/learningmgmt,nan,0.376,0.376,-0.239
brightsquid/marketingsite,nan,0.525,0.525,-0.525
brightsquid/mobiledeployment,nan,0.931,0.931,-0.810
brightsquid/nginx,0.356,0.617,0.660,-0.594
brightsquid/pandas,nan,nan,nan,nan
brightsquid/pandt,nan,0.946,0.946,-0.946
brightsquid/panel,0.256,0.706,0.732,-0.665
brightsquid/platform,0.285,0.804,0.814,-0.656
brightsquid/securehealthexchange.ca,nan,0.863,0.863,-0.855
brightsquid/skynios,0.121,0.777,0.778,-0.627
brightsquid/telustools,nan,nan,nan,nan
brightsquid/tools,nan,0.718,0.718,-0.599
brightsquid/web,0.186,0.608,0.609,-0.587
